QS1,QS2,MS1,MS2,MS3,SS1,SS2,BS,IS,BASE_LINE
0,1,0,0,0,0,3,0,0,0
0,2,0,0,0,2,7,0,0,1
0,4,1,0,0,5,16,1,0,0
1,10,0,0,1,8,29,3,0,0
0,13,0,1,0,14,47,4,0,0
1,17,1,0,1,20,67,6,0,0
1,23,1,0,1,26,142,11,0,0
1,38,1,0,2,41,155,11,0,0
2,43,1,1,1,48,169,13,0,1
