QS1,QS2,MS1,MS2,MS3,SS1,SS2,BS,IS,BASE_LINE
1,0,0,0,0,1,3,1,0,0
0,0,1,0,0,4,10,1,0,1
0,0,1,0,1,8,18,3,2,1
1,0,1,2,1,20,59,4,2,0
1,0,1,1,0,18,49,7,4,0
1,1,0,1,1,24,72,11,6,0
1,1,1,1,1,26,90,14,5,1
1,1,1,1,1,36,130,20,9,1
1,0,1,2,1,55,159,24,10,1
